Balance, BTC;Addresses;% Addresses (Total);Coins;USD;% Coins (Total)
(0 - 0.00001);3259521;7.61% (100%);15.58 BTC;$327,271;0% (100%)
[0.00001 - 0.0001);7954836;18.57% (92.39%);344.09 BTC;$7,226,617;0% (100%)
[0.0001 - 0.001);10541158;24.61% (73.82%);4,071 BTC;$85,489,220;0.02% (100%)
[0.001 - 0.01);10585923;24.71% (49.22%);40,191 BTC;$844,090,975;0.21% (99.98%)
[0.01 - 0.1);6783682;15.84% (24.5%);221,937 BTC;$4,661,094,552;1.16% (99.77%)
[0.1 - 1);2828734;6.6% (8.67%);876,352 BTC;$18,405,031,244;4.59% (98.6%)
[1 - 10);735828;1.72% (2.07%);1,854,152 BTC;$38,940,644,626;9.71% (94.01%)
[10 - 100);133358;0.31% (0.35%);4,300,094 BTC;$90,310,009,381;22.52% (84.3%)
[100 - 1,000);13700;0.03% (0.04%);3,859,053 BTC;$81,047,324,303;20.21% (61.78%)
[1,000 - 10,000);2082;0% (0.01%);5,024,146 BTC;$105,516,445,482;26.32% (41.56%)
[10,000 - 100,000);91;0% (0%);2,130,981 BTC;$44,754,570,207;11.16% (15.25%)
[100,000 - 1,000,000);5;0% (0%);780,107 BTC;$16,383,701,439;4.09% (4.09%)