TimeFrom,TimeTo,Exchange
2010-07-18 00:00:00,2013-06-30 23:59:59,Mt. Gox
2013-07-01 00:00:00,2015-01-04 09:43:00,Bitstamp
2013-07-01 00:00:00,2015-11-04 11:00:00,BTC-e
2013-07-01 00:00:00,2013-11-06 00:00:00,CampBX
2013-11-28 12:00:00,2014-02-10 16:00:00,Mt. Gox
2014-03-13 16:00:00,2016-08-03 20:25:00,Bitfinex
2014-06-30 15:00:00,2014-10-31 15:00:00,LakeBTC
2014-11-25 15:00:00,2017-10-15 09:30:00,OkCoin
2014-11-25 15:00:00,2015-03-01 00:00:00,itBit
2015-01-10 01:45:00,2100-01-01,Bitstamp
2015-01-29,2015-06-24,LakeBTC
2015-07-21,2100-01-01,itBit
2015-07-21,2100-01-01,Coinbase
2017-02-23,2017-04-20,Bitfinex
2017-10-15,2100-01-01,Bitfinex